ID,Score,Name,Role,Games,WR,KDA,CPM,DPM,HPM,eHPM,SPM,OPM,W Left,K Left,K/W Left,Playtime,K/M,D/M,A/M,Dt/M,wD/tD,sD/tD,Playtime (Min),Credits,Kills,Deaths,Assists,Total Damage,Weapon Damage,Taken,Shielding,Healing,Healing (Self),Wins,Losses,Objective Time
2314,1031.793,Tyra,Damage,45,0.511,1.798,294.917,6341.905,0.0,158.138,0.0,1.881,29,462,15.931034482758621,7h 52m,0.934,0.814,1.057,4634.833,0.622,0.378,472,139201,441,384,499,2993379,1860543,2187641,0,0,74641,23,22,888
2056,1064.531,Pip,Support,56,0.554,1.488,321.09,3789.881,188.643,333.733,0.0,0.448,28,684,24.428571428571427,9h 14m,0.601,0.816,1.226,4393.588,0.908,0.092,554,177884,333,452,679,2099594,1906824,2434048,0,104508,80380,31,25,248
2372,738.027,Seris,Support,36,0.472,1.588,274.669,1735.756,1576.905,1772.774,0.0,1.123,28,314,11.214285714285714,6h 30m,0.256,0.569,1.295,3190.818,0.857,0.143,390,107121,100,222,505,676945,580031,1244419,0,614993,76389,17,19,438
2431,2437.325,Jenos,Support,90,0.611,2.331,380.317,2641.06,2293.746,2831.383,0.0,1.136,27,358,13.25925925925926,12h 47m,0.441,0.696,2.364,3658.168,0.772,0.228,767,291703,338,534,1813,2025693,1564767,2805815,0,1759303,412368,55,35,871
2093,289.531,Grohk,Support,16,0.25,1.394,299.687,3093.49,1400.034,1999.66,10.034,2.531,24,182,7.583333333333333,2h 27m,0.327,0.769,1.49,4188.293,0.586,0.414,147,44054,48,113,219,454743,266267,615679,1475,205805,88145,4,12,372
2254,1917.504,Grover,Support,43,0.558,2.299,397.253,2968.895,6160.502,8385.429,0.0,6.046,21,206,9.80952380952381,7h 18m,0.429,0.671,2.228,5143.153,0.778,0.222,438,173997,188,294,976,1300376,1011196,2252701,0,2698300,974518,24,19,2648
2322,710.107,Torvald,Front Line,18,0.389,1.54,410.188,3877.688,82.544,240.469,7264.931,2.569,19,200,10.526315789473685,2h 40m,0.681,0.856,1.275,5383.869,0.824,0.176,160,65630,109,137,204,620430,511508,861419,1162389,13207,25268,7,11,411
2477,597.734,Terminus,Front Line,17,0.412,1.404,364.904,4000.916,0.0,1489.102,0.0,9.749,17,233,13.705882352941176,2h 47m,0.886,0.874,0.683,8330.305,0.587,0.413,167,60939,148,146,114,668153,392323,1391161,0,0,248680,7,10,1628
2071,1313.821,Fernando,Front Line,54,0.611,1.81,297.709,4347.507,0.0,235.962,3702.502,2.43,16,449,28.0625,9h 14m,0.682,0.681,1.099,7261.119,0.601,0.399,554,164931,378,377,609,2408519,1447110,4022660,2051186,0,130723,33,21,1346
2417,507.73,Lian,Damage,12,0.333,2.148,285.386,6249.816,0.0,186.711,0.0,2.053,15,61,4.066666666666666,1h 54m,0.825,0.623,1.026,3224.474,0.963,0.037,114,32534,94,71,117,712479,686114,367590,0,0,21285,4,8,234
2285,1329.072,Viktor,Damage,33,0.576,1.713,385.352,6095.7,0.0,370.547,0.0,1.592,14,350,25.0,4h 47m,1.101,0.948,1.045,4843.003,0.672,0.328,287,110596,316,272,300,1749466,1175823,1389942,0,0,106347,19,14,457
2491,1292.35,Furia,Support,36,0.583,1.797,344.106,3385.504,1289.591,1685.66,486.134,2.61,14,323,23.071428571428573,5h 59m,0.574,0.747,1.535,3517.549,0.685,0.315,359,123534,206,268,551,1215396,832591,1262800,174522,462963,142189,21,15,937
