ID,Score,Name,Role,Games,WR,KDA,CPM,DPM,HPM,eHPM,SPM,OPM,W Left,K Left,K/W Left,Playtime,K/M,D/M,A/M,Dt/M,wD/tD,sD/tD,Playtime (Min),Credits,Kills,Deaths,Assists,Total Damage,Weapon Damage,Taken,Shielding,Healing,Healing (Self),Wins,Losses,Objective Time
2307,3408.795,Sha Lin,Damage,772,0.632,2.757,294.19,6990.534,0.0,97.141,0.0,0.945,175,1329,7.594285714285714,141h 54m,1.35,0.642,0.838,2815.835,0.973,0.027,8514,2504733,11496,5464,7135,59517407,57901196,23974015,0,0,827061,488,284,8048
2092,4152.155,Cassie,Damage,659,0.634,3.183,316.814,8136.297,0.0,314.235,0.0,1.598,145,-787,0/145,119h 2m,1.427,0.601,0.975,3499.09,0.858,0.142,7142,2262688,10192,4295,6961,58109430,49877556,24990503,0,0,2244263,418,241,11415
2348,3915.908,Inara,Front Line,415,0.641,3.114,325.501,5441.017,0.0,641.411,1352.358,9.766,82,-242,0/82,75h 35m,0.847,0.471,1.238,7908.162,0.86,0.14,4535,1476148,3843,2136,5615,24675011,21218309,35863513,6132944,0,2908800,266,149,44287
2205,3782.748,Androxus,Flank,628,0.662,2.624,337.731,6831.302,0.0,191.846,0.0,0.754,79,2045,25.88607594936709,106h 59m,1.835,0.848,0.783,3598.979,0.867,0.133,6419,2167895,11779,5446,5028,43850129,38013854,23101847,0,0,1231462,416,212,4837
2071,2861.283,Fernando,Front Line,150,0.6,3.008,316.373,4709.617,0.0,456.026,6267.899,7.212,50,-6,0/50,27h 3m,0.898,0.484,1.118,7545.609,0.579,0.421,1623,513474,1457,786,1815,7643708,4428830,12246524,10172800,0,740130,90,60,11705
2540,4090.007,Octavia,Damage,63,0.619,3.382,471.542,7497.703,114.386,601.894,42.054,3.748,17,-126,0/17,9h 15m,1.389,0.595,1.243,3771.982,0.891,0.109,555,261706,771,330,690,4161225,3707616,2093450,23340,63484,270567,39,24,2080
2550,582.676,Betty la Bomba,Damage,7,0.286,2.241,467.581,5732.116,0.0,664.814,0.0,0.558,10,22,2.2,43m,1.047,0.674,0.93,4134.86,0.643,0.357,43,20106,45,29,40,246481,158370,177799,0,0,28587,2,5,24
2542,265.441,Rei,Support,4,0.25,2.25,340.4,2650.0,6013.44,7539.28,0.0,1.0,6,9,1.5,25m,0.24,0.48,1.68,3681.88,0.985,0.015,25,8510,6,12,42,66250,65272,92047,0,150336,38146,1,3,25
2149,2717.46,Ruckus,Front Line,49,0.673,3.0,345.598,5971.949,0.0,669.122,2692.971,4.839,5,0,0/5,8h 30m,1.173,0.608,1.302,7092.182,0.741,0.259,510,176255,598,310,664,3045694,2257922,3617013,1373415,0,341252,33,16,2468
2543,518.561,Saati,Damage,2,0.5,2.917,513.0,7544.812,0.0,799.688,0.0,2.625,2,1,0.5,16m,1.625,0.75,1.125,4684.375,0.835,0.165,16,8208,26,12,18,120717,100823,74950,0,0,12795,1,1,42
2372,3158.21,Seris,Support,34,0.706,3.077,412.307,2798.63,5300.215,6533.011,0.0,3.493,0,-9,-,4h 30m,0.437,0.456,1.93,3487.719,0.854,0.146,270,111323,118,123,521,755630,645330,941684,0,1431058,332855,24,10,943
2509,3757.035,Imani,Damage,37,0.703,3.245,456.312,9288.851,0.0,474.929,25.674,1.972,0,-47,-,4h 42m,1.617,0.688,1.23,3927.426,0.816,0.184,282,128680,456,194,347,2619456,2138058,1107534,7240,0,133930,26,11,556
2479,3906.176,Khan,Front Line,110,0.7,3.82,310.751,5126.273,782.287,2197.018,2097.147,6.921,0,-367,-,18h 45m,0.86,0.398,1.324,6975.291,0.943,0.057,1125,349595,967,448,1489,5767057,5440302,7847202,2359290,880073,1591572,77,33,7786
2548,0.0,Azaan,Front Line,1,1.0,5.0,491.0,3625.8,0.0,1123.2,3929.6,0.0,-1,-4,-,5m,0.4,0.4,3.2,10349.8,0.893,0.107,5,2455,2,2,16,18129,16185,51749,19648,0,5616,1,0,0
2393,3569.582,Willo,Damage,31,0.71,3.062,478.384,7968.978,0.0,259.039,0.0,2.197,-1,-11,-,3h 49m,1.611,0.812,1.751,4176.633,0.877,0.123,229,109550,369,186,401,1824896,1600243,956449,0,0,59320,22,9,503
2254,2770.123,Grover,Support,18,0.722,3.19,415.962,3930.637,6233.019,8559.056,0.0,6.969,-1,-17,-,2h 40m,0.594,0.575,2.481,4260.456,0.762,0.238,160,66554,95,92,397,628902,479173,681673,0,997283,372166,13,5,1115
2512,3838.219,Atlas,Front Line,75,0.707,3.562,353.208,5921.437,0.0,927.533,0.0,9.584,-1,-168,-,11h 27m,0.914,0.437,1.282,7455.175,0.998,0.002,687,242654,628,300,881,4068027,4058689,5121705,0,0,637215,53,22,6584
2529,4936.439,Tiberius,Damage,121,0.702,3.803,385.249,8653.382,0.0,1036.425,0.0,2.378,-1,-488,-,17h 19m,1.66,0.585,1.131,3957.435,0.837,0.163,1039,400274,1725,608,1175,8990864,7521448,4111775,0,0,1076846,85,36,2471
2477,3170.41,Terminus,Front Line,59,0.712,3.161,345.499,4855.774,0.0,1374.381,0.0,11.43,-2,-40,-,9h 53m,0.887,0.423,0.902,7350.732,0.438,0.562,593,204881,526,251,535,2879474,1260197,4358984,0,0,815008,42,17,6778
2536,3096.175,Vora,Flank,10,0.8,3.24,518.708,8417.764,0.0,1224.667,47.917,2.556,-3,-12,-,1h 12m,1.472,0.722,1.736,5168.5,0.852,0.148,72,37347,106,52,125,606079,516095,372132,3450,0,88176,8,2,184
